Date,Name,Year,Letterboxd URI,Rating
2018-04-30,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2018-04-30,Jurassic Park,1993,https://boxd.it/2aA2,5
2018-04-30,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2018-04-30,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,0.5
2018-04-30,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2018-05-03,Seven Samurai,1954,https://boxd.it/2axi,5
2018-05-05,The Cabin in the Woods,2011,https://boxd.it/1zOc,1.5
2018-06-16,The Invisible Guest,2016,https://boxd.it/euce,3.5
2018-06-17,Wonder Woman,2017,https://boxd.it/9roG,3
2018-06-24,Tomb Raider,2018,https://boxd.it/bgbA,3
2018-06-24,The Lobster,2015,https://boxd.it/7tnw,2.5
2019-01-12,Roma,2018,https://boxd.it/f69M,3
2019-01-12,BlacKkKlansman,2018,https://boxd.it/hxL8,3
2019-01-12,Bird Box,2018,https://boxd.it/eh1i,3
2019-01-12,Hereditary,2018,https://boxd.it/hNVe,4.5
2019-01-12,Eighth Grade,2018,https://boxd.it/hDMG,4
2019-01-13,In the Mouth of Madness,1994,https://boxd.it/26vi,3.5
2019-11-17,Aquaman,2018,https://boxd.it/9ru0,0.5
2021-03-16,A Quiet Place,2018,https://boxd.it/fVJQ,4
2022-08-20,The Devil All the Time,2020,https://boxd.it/i2tY,1
2023-02-07,Babylon,2022,https://boxd.it/mM02,3.5
2023-02-07,The Place Beyond the Pines,2012,https://boxd.it/3mDu,5
2024-02-04,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,4
2024-03-04,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3.5
2024-03-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2024-03-16,Starship Troopers,1997,https://boxd.it/2a7k,5
2024-04-06,Black Sabbath,1963,https://boxd.it/1qoa,4
2024-04-16,Shaun of the Dead,2004,https://boxd.it/29J8,4.5
2024-04-22,The Matrix,1999,https://boxd.it/2a1m,5
2024-05-07,Love Lies Bleeding,2024,https://boxd.it/zN4q,3.5
2024-05-23,Monkey Man,2024,https://boxd.it/kvsO,2.5
2024-05-23,Immaculate,2024,https://boxd.it/Douw,3
2024-05-23,Alien,1979,https://boxd.it/2awY,5
2024-06-10,Civil War,2024,https://boxd.it/z1jW,4
2024-07-31,The Host,2006,https://boxd.it/28ZY,4
2024-07-31,Parasite,2019,https://boxd.it/hTha,5
2024-08-01,I Saw the TV Glow,2024,https://boxd.it/woVe,1.5
2024-08-06,Turning Red,2022,https://boxd.it/ipkq,4
2024-08-18,District 9,2009,https://boxd.it/1Iik,4
2024-08-25,Red Cliff,2008,https://boxd.it/1S6y,3
2024-11-01,The Pinchcliffe Grand Prix,1975,https://boxd.it/hJe6,5
2024-11-26,The Thing,1982,https://boxd.it/294O,5
2024-12-30,La Palma,2024,https://boxd.it/RZIy,2
2024-12-30,The Nurse,2023,https://boxd.it/Goyk,4
2025-01-02,Anora,2024,https://boxd.it/Egcw,2
2025-01-03,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/vDNs,1
2025-02-01,Poor Things,2023,https://boxd.it/tNWU,3
2025-02-17,Guy Ritchie's The Covenant,2023,https://boxd.it/xjcK,2.5
2025-02-22,It Ends with Us,2024,https://boxd.it/ENjg,2
2025-02-28,Nosferatu,2024,https://boxd.it/f5eG,4
2025-03-22,Identity,2003,https://boxd.it/26e2,3
2025-04-03,Psycho,1960,https://boxd.it/2ab2,5
2025-04-22,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2025-05-10,Clue,1985,https://boxd.it/1MDQ,2.5
2025-05-15,Barry Lyndon,1975,https://boxd.it/25A2,4
2025-06-22,Better Man,2024,https://boxd.it/u6t8,3.5
2025-06-22,Alien: Romulus,2024,https://boxd.it/zGqO,3
2025-07-16,Samurai Cop,1991,https://boxd.it/3Na,1
