Date,Name,Year,Letterboxd URI
2018-04-30,Isle of Dogs,2018,https://boxd.it/dZrW
2018-04-30,You Were Never Really Here,2017,https://boxd.it/dWOS
2018-04-30,Logan,2017,https://boxd.it/7Piy
2018-04-30,A Clockwork Orange,1971,https://boxd.it/2aVE
2018-04-30,"I, Tonya",2017,https://boxd.it/dzR0
2018-04-30,12 Years a Slave,2013,https://boxd.it/2D2e
2018-05-02,It Comes at Night,2017,https://boxd.it/eLuk
2018-05-03,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2018-05-03,Once Upon a Time in the West,1968,https://boxd.it/2az4
2018-05-03,The Ritual,2017,https://boxd.it/fo0I
2018-05-03,Ralph Breaks the Internet,2018,https://boxd.it/edAy
2018-05-05,Scarface,1983,https://boxd.it/2b7g
2018-06-02,The Big Sleep,1946,https://boxd.it/29iQ
2019-01-12,First Reformed,2017,https://boxd.it/go9C
2019-01-12,The Pianist,2002,https://boxd.it/2aqc
2021-09-04,Black Rain,1989,https://boxd.it/24NY
2021-09-04,Ida,2013,https://boxd.it/6fRg
2022-02-28,Nightmare Alley,2021,https://boxd.it/m0HC
2022-02-28,Le Trou,1960,https://boxd.it/1nSw
2022-02-28,Licorice Pizza,2021,https://boxd.it/qTKY
2022-02-28,The Power of the Dog,2021,https://boxd.it/m99E
2022-02-28,Drive My Car,2021,https://boxd.it/sv94
2022-02-28,Spencer,2021,https://boxd.it/qPMG
2022-02-28,The French Dispatch,2021,https://boxd.it/jLP8
2022-02-28,The Wind Rises,2013,https://boxd.it/4JQS
2022-03-16,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK
2022-05-08,Dangal,2016,https://boxd.it/chfU
2022-05-11,Sunshine,2007,https://boxd.it/28Xy
2022-10-29,Barbarian,2022,https://boxd.it/yohi
2022-10-29,Terrifier 2,2022,https://boxd.it/oI10
2022-10-29,Smile,2022,https://boxd.it/xjfE
2023-02-10,The Wave,2008,https://boxd.it/20OS
2023-03-01,Knock at the Cabin,2023,https://boxd.it/npL2
2023-03-01,All Quiet on the Western Front,2022,https://boxd.it/H08
2023-03-01,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-03-01,Up in the Air,2009,https://boxd.it/1zPY
2023-04-09,The Sting,1973,https://boxd.it/1Z5s
2023-07-25,The Deer Hunter,1978,https://boxd.it/1T6O
2023-07-25,The Meg,2018,https://boxd.it/bAL4
2023-10-13,November,2017,https://boxd.it/fxu8
2023-11-29,Ms .45,1981,https://boxd.it/1AWG
2023-11-29,The Golden Voyage of Sinbad,1973,https://boxd.it/1HTY
2023-11-29,Ladyhawke,1985,https://boxd.it/2ad8
2023-11-29,The Bride with White Hair,1993,https://boxd.it/1Ggw
2023-12-01,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY
2023-12-01,All That Jazz,1979,https://boxd.it/1JB8
2023-12-01,Possession,1981,https://boxd.it/1BPm
2023-12-01,Searching for Bobby Fischer,1993,https://boxd.it/1OmW
2023-12-01,Come and See,1985,https://boxd.it/1w9q
2023-12-01,The Tree of Life,2011,https://boxd.it/1Zu8
2023-12-01,Lone Star,1996,https://boxd.it/1tge
2023-12-01,The Bridge on the River Kwai,1957,https://boxd.it/29wo
2023-12-01,Das Boot,1981,https://boxd.it/2av2
2023-12-01,Lady Vengeance,2005,https://boxd.it/248G
2023-12-01,Interview with the Vampire,1994,https://boxd.it/29XO
2023-12-06,Dreams,1990,https://boxd.it/1ROu
2023-12-09,Godzilla Minus One,2023,https://boxd.it/zu4c
2023-12-13,Leave the World Behind,2023,https://boxd.it/re0i
2023-12-13,Tokyo Godfathers,2003,https://boxd.it/1Qg2
2023-12-23,Monster,2003,https://boxd.it/2afy
2023-12-24,Dark Waters,2019,https://boxd.it/kaYu
2024-02-14,House of Bamboo,1955,https://boxd.it/1CFs
2024-02-19,The Killer,1989,https://boxd.it/1Vha
2024-02-22,Monolith,2022,https://boxd.it/CKVi
2024-03-17,All About Eve,1950,https://boxd.it/29LI
2024-03-17,Planet of the Apes,1968,https://boxd.it/29p8
2024-03-17,Perfect Days,2023,https://boxd.it/ATh8
2024-03-17,Nǎi Nai & Wài Pó,2023,https://boxd.it/F3My
2024-03-17,The Tale of the Fox,1937,https://boxd.it/3b3K
2024-03-17,Io Capitano,2023,https://boxd.it/zmrM
2024-03-17,Malcolm X,1992,https://boxd.it/27WE
2024-03-17,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2024-03-17,20 Days in Mariupol,2023,https://boxd.it/E32S
2024-03-17,How to Have Sex,2023,https://boxd.it/EFIM
2024-03-24,The Stendhal Syndrome,1996,https://boxd.it/13GK
2024-04-04,Leave No Trace,2018,https://boxd.it/fMfM
2024-04-06,Tales from the Darkside: The Movie,1990,https://boxd.it/1D2c
2024-04-06,Eega,2012,https://boxd.it/4HhQ
2024-04-17,The First Omen,2024,https://boxd.it/fx08
2024-04-27,Challengers,2024,https://boxd.it/zld0
2024-04-28,The Big Brawl,1980,https://boxd.it/1Fok
2024-04-29,Late Night with the Devil,2023,https://boxd.it/zo6G
2024-05-05,ted,2024,https://boxd.it/KN1y
2024-05-09,Memories,1995,https://boxd.it/Vz2
2024-05-09,Bloodsport,1988,https://boxd.it/1Tee
2024-05-09,Kickboxer,1989,https://boxd.it/1WMy
2024-05-14,Evil Does Not Exist,2023,https://boxd.it/HJrc
2024-05-14,War for the Planet of the Apes,2017,https://boxd.it/8FE2
2024-05-19,The Witches of Eastwick,1987,https://boxd.it/2272
2024-05-19,Mad Max,1979,https://boxd.it/1Y7i
2024-05-20,The Substance,2024,https://boxd.it/zanS
2024-05-23,Megalopolis,2024,https://boxd.it/lPBS
2024-05-30,Lousy Carter,2023,https://boxd.it/HnXg
2024-05-30,Snack Shack,2024,https://boxd.it/DeKu
2024-06-01,Stopmotion,2023,https://boxd.it/vHYa
2024-06-01,The Stand,1994,https://boxd.it/1PZU
2024-06-08,Cowboy Bebop,1998,https://boxd.it/ptES
2024-06-08,Purple Noon,1960,https://boxd.it/1WrU
2024-06-14,They Have Changed Their Face,1971,https://boxd.it/3rqU
2024-07-23,A World Without Women,2011,https://boxd.it/5gFS
2024-07-23,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2024-08-01,Black Christmas,1974,https://boxd.it/1Js6
2024-08-02,House,1977,https://boxd.it/1vsm
2024-08-02,Last Year at Marienbad,1961,https://boxd.it/24Qe
2024-08-02,East of Eden,1955,https://boxd.it/2aQE
2024-08-02,Lola Montès,1955,https://boxd.it/1bzi
2024-08-02,Zulu,1964,https://boxd.it/1O6Y
2024-08-02,Out of the Past,1947,https://boxd.it/29PK
2024-08-02,The Holy Mountain,1973,https://boxd.it/20mu
2024-08-02,The Italian Connection,1972,https://boxd.it/dIu
2024-08-02,Assassin(s),1997,https://boxd.it/1ep6
2024-08-02,22 Jump Street,2014,https://boxd.it/5Fvy
2024-08-02,Darkest Hour,2017,https://boxd.it/dZZa
2024-08-06,Cleopatra,1963,https://boxd.it/20xM
2024-08-06,The Ten Commandments,1956,https://boxd.it/21mg
2024-08-10,Trap,2024,https://boxd.it/D4nK
2024-08-11,The Adventures of Young Indiana Jones: Daredevils of the Desert,1999,https://boxd.it/6Al6
2024-08-19,Drácula,1931,https://boxd.it/146I
2024-08-23,WarGames,1983,https://boxd.it/29qU
2024-09-23,The Men of Outpost 31,2016,https://boxd.it/jlhY
2024-10-07,Caravaggio,1986,https://boxd.it/1DjC
2024-10-07,Escape,2012,https://boxd.it/4o2C
2024-10-07,Die Nibelungen: Kriemhild's Revenge,1924,https://boxd.it/WIu
2024-10-07,Die Nibelungen: Siegfried,1924,https://boxd.it/1iWS
2024-10-13,The Dark Crystal,1982,https://boxd.it/1Tm8
2024-10-17,John Carter,2012,https://boxd.it/FQ2
2024-10-18,Revenge,2017,https://boxd.it/gL9g
2024-10-27,The Brothers Karamazov,1969,https://boxd.it/5lzA
2024-10-31,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2024-10-31,Beetlejuice,1988,https://boxd.it/24QI
2024-10-31,Sleepy Hollow,1999,https://boxd.it/26u0
2024-11-01,Psycho II,1983,https://boxd.it/1VUQ
2024-11-01,Youth,2015,https://boxd.it/9Y7S
2024-11-01,Attack of the 50 Foot Woman,1958,https://boxd.it/1Gq2
2024-11-09,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4
2024-11-09,No Other Land,2024,https://boxd.it/KOTG
2024-12-03,Crocodile Tears,2024,https://boxd.it/I2pO
2024-12-29,The Elephant Man,1980,https://boxd.it/27LQ
2024-12-30,Duel,1971,https://boxd.it/29ui
2025-01-05,Piranha II: The Spawning,1982,https://boxd.it/1iDm
2025-01-07,Coma,1978,https://boxd.it/1Uks
2025-01-07,Mikey and Nicky,1976,https://boxd.it/iL4
2025-01-09,Paddington in Peru,2024,https://boxd.it/iJve
2025-01-16,House of Flying Daggers,2004,https://boxd.it/1YoI
2025-01-25,The Straight Story,1999,https://boxd.it/2ass
2025-01-25,Wolf Man,2025,https://boxd.it/qzSI
2025-01-25,Nickel Boys,2024,https://boxd.it/CStQ
2025-02-19,Young Woman and the Sea,2024,https://boxd.it/t7jw
2025-02-20,Joan the Maid I: The Battles,1994,https://boxd.it/4xYK
2025-02-26,Dune: Part Three,2026,https://boxd.it/ImWe
2025-02-27,Lone Survivor,2013,https://boxd.it/5Qj4
2025-02-27,Casualties of War,1989,https://boxd.it/1WZ8
2025-04-08,Force Majeure,2014,https://boxd.it/7UcA
2025-04-11,Stagecoach,1939,https://boxd.it/297S
2025-04-11,The Man Who Shot Liberty Valance,1962,https://boxd.it/1Tdg
2025-04-24,The Lure,2015,https://boxd.it/d3mE
2025-04-24,The Company of Wolves,1984,https://boxd.it/1SO6
2025-05-03,Presence,2024,https://boxd.it/H88i
2025-08-15,Warfare,2025,https://boxd.it/LbRo
2025-08-15,Let Me In,2010,https://boxd.it/Zsa
2025-08-22,The Picture of Dorian Gray,1945,https://boxd.it/1JXe
2025-08-28,The Odyssey,2026,https://boxd.it/QFQU
